Sender,Content,ContentCategories,MyPhysicalReaction,TextReactionofReciever,Day,TimeSent,Song
Ayashe,tvd,TV Shows,Laughter,HAHA,2/7/21,3:48 PM,
Isabel,tvd,TV Shows,Laughter,HAHA,2/7/21,4:19 PM,
Isabel,Big Time Rush,Music,Laughter,NA,2/7/21,4:20 PM,
Ayashe,sebastian stan,Actors,Laughter,Heart,2/7/21,4:43 PM,
Ayashe,miscellaneous ,Miscellaneous,Laughter,HAHA,2/7/21,4:46 PM,
Isabel,sebastian stan,Actors,Laughter,Heart,2/7/21,5:36 PM,
Isabel,one direction,Music,Laughter,HAHA,2/7/21,6:13 PM,
Ayashe,sebastian stan,Actors,Smile,Heart,2/7/21,7:37 PM,
Ayashe,miscellaneous ,Miscellaneous,Laughter,Emphasized,2/7/21,7:50 PM,
Ayashe,miscellaneous ,Miscellaneous,Laughter,NA,2/7/21,7:55 PM,
Ayashe,Tik Tok Influencers,Actors,Laughter,HAHA,2/7/21,8:51 PM,
Ayashe,one tree hill,TV Shows,Sadness,Thumbs Down,2/7/21,9:29 PM,
Ayashe,the jonas brothers,Music,Laughter,HAHA,2/7/21,9:32 PM,
Ayashe,miscellaneous ,Miscellaneous,Laughter,HAHA,2/7/21,9:34 PM,
Isabel,sebastian stan,Actors,Smile,Heart,2/7/21,10:13 PM,
Isabel,harry potter,Movies,Laughter,HAHA,2/7/21,10:14 PM,
Isabel,miscellaneous ,Miscellaneous,Laughter,HAHA,2/7/21,10:18 PM,
Isabel,Matthew Morrison,Actors,Laughter,HAHA,2/7/21,10:22 PM,
Ayashe,miscellaneous ,Miscellaneous,Laughter,HAHA,2/7/21,10:32 PM,
Ayashe,harry styles,Music,Laughter,HAHA,2/7/21,10:32 PM,
Ayashe,Ross Lynch,Actors,Laughter,HAHA,2/7/21,10:35 PM,
Ayashe,avengers,Actors,Laughter,HAHA,2/7/21,10:46 PM,
Isabel,trisha Paytas,Actors,Laughter,HAHA,2/7/21,11:51 PM,
Ayashe,Armie Hammer,Actors,Sadness,Question,2/8/21,1:56 AM,
Isabel,Avengers,TV Shows,Laughter,HAHA,2/8/21,3:12 AM,
Isabel,Sebastian stan,Actors,Laughter,Heart,2/8/21,3:13 AM,
Isabel,2000 shows,Miscellaneous,Laughter,NA,2/8/21,3:14 AM,
Isabel,tom Holland,Actors,Laughter,HAHA,2/8/21,3:37 AM,
